Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0863,1.65,0.0617,1.22,0.0627,1.21,0.0703,1.36,0.0787,1.47,0.0777,1.5
0.0865,1.65,0.0617,1.21,0.0633,1.22,0.0705,1.35,0.0791,1.48,0.0781,1.51
0.0865,1.65,0.0617,1.21,0.0638,1.23,0.0705,1.36,0.0795,1.48,0.0783,1.53
0.0865,1.65,0.0617,1.21,0.0643,1.23,0.0706,1.37,0.0799,1.49,0.0786,1.52
0.0865,1.65,0.0617,1.21,0.0648,1.25,0.0707,1.36,0.0803,1.5,0.0788,1.53
0.0865,1.65,0.0617,1.21,0.0654,1.26,0.0707,1.36,0.0805,1.5,0.0792,1.54
0.0865,1.65,0.0617,1.22,0.0658,1.26,0.0707,1.37,0.0809,1.51,0.0794,1.54
0.0865,1.64,0.0617,1.22,0.0663,1.28,0.0707,1.36,0.0812,1.51,0.0797,1.54
0.0865,1.65,0.0616,1.21,0.0668,1.28,0.0708,1.36,0.0815,1.51,0.0799,1.56
0.0865,1.65,0.0616,1.21,0.0673,1.29,0.0708,1.37,0.0817,1.52,0.08,1.55
0.0865,1.64,0.0616,1.21,0.0678,1.29,0.0708,1.37,0.082,1.53,0.0803,1.55
0.0865,1.65,0.0616,1.2,0.0683,1.31,0.0708,1.36,0.0823,1.53,0.0805,1.56
0.0865,1.65,0.0615,1.21,0.0688,1.31,0.0708,1.37,0.0825,1.53,0.0806,1.56
0.0865,1.65,0.0615,1.2,0.0692,1.32,0.0708,1.37,0.0827,1.53,0.0808,1.56
0.0865,1.65,0.0615,1.21,0.0697,1.34,0.0707,1.36,0.0828,1.54,0.0809,1.57
0.0865,1.65,0.0615,1.22,0.0702,1.34,0.0707,1.37,0.0829,1.54,0.081,1.57
0.0865,1.65,0.0615,1.21,0.0707,1.35,0.0706,1.37,0.0831,1.54,0.0811,1.57
0.0865,1.66,0.0614,1.21,0.0711,1.37,0.0706,1.35,0.0831,1.55,0.0812,1.58
0.0865,1.65,0.0614,1.22,0.0715,1.37,0.0705,1.36,0.0831,1.54,0.0814,1.57
0.0865,1.65,0.0614,1.21,0.072,1.38,0.0703,1.37,0.0831,1.54,0.0814,1.57
0.0865,1.66,0.0614,1.21,0.0724,1.39,0.0702,1.36,0.0831,1.55,0.0815,1.58
0.0865,1.65,0.0614,1.21,0.0729,1.39,0.0702,1.35,0.0829,1.54,0.0815,1.57
0.0865,1.65,0.0612,1.2,0.0732,1.4,0.0701,1.36,0.0829,1.54,0.0816,1.57
0.0865,1.65,0.0612,1.2,0.0736,1.41,0.0698,1.35,0.0828,1.54,0.0816,1.58
0.0865,1.65,0.0612,1.21,0.0741,1.42,0.0697,1.34,0.0826,1.53,0.0816,1.58
0.0865,1.65,0.0612,1.2,0.0745,1.42,0.0696,1.35,0.0823,1.53,0.0817,1.57
0.0865,1.65,0.0612,1.2,0.0748,1.43,0.0695,1.35,0.0821,1.53,0.0817,1.59
0.0865,1.65,0.0612,1.21,0.0752,1.43,0.0692,1.33,0.0819,1.52,0.0817,1.58
0.0865,1.65,0.0611,1.2,0.0755,1.43,0.0691,1.34,0.0816,1.51,0.0817,1.57
0.0863,1.64,0.0611,1.19,0.0759,1.45,0.0689,1.33,0.0812,1.51,0.0817,1.58
0.0863,1.64,0.0611,1.21,0.0762,1.45,0.0686,1.31,0.0809,1.5,0.0817,1.57
0.0863,1.65,0.061,1.2,0.0765,1.45,0.0684,1.33,0.0805,1.5,0.0817,1.58
0.0862,1.64,0.061,1.2,0.0768,1.46,0.0681,1.32,0.0802,1.49,0.0817,1.58
0.0862,1.64,0.0609,1.2,0.077,1.46,0.0678,1.31,0.0798,1.48,0.0817,1.58
0.0862,1.64,0.0609,1.19,0.0771,1.47,0.0675,1.3,0.0793,1.47,0.0817,1.57
0.0861,1.64,0.0608,1.2,0.0774,1.48,0.0672,1.3,0.0788,1.47,0.0817,1.57
0.0861,1.64,0.0608,1.2,0.0776,1.47,0.0669,1.28,0.0783,1.46,0.0816,1.57
0.086,1.63,0.0606,1.19,0.0777,1.48,0.0666,1.29,0.0779,1.45,0.0816,1.57
0.0859,1.63,0.0605,1.19,0.0779,1.49,0.0662,1.28,0.0772,1.43,0.0816,1.57
0.0857,1.63,0.0604,1.2,0.078,1.48,0.0658,1.27,0.0766,1.43,0.0816,1.57
0.0856,1.63,0.0603,1.19,0.0781,1.49,0.0654,1.27,0.076,1.41,0.0815,1.57
0.0855,1.63,0.0601,1.18,0.0782,1.49,0.065,1.27,0.0754,1.41,0.0815,1.57
0.0854,1.62,0.06,1.18,0.0782,1.48,0.0645,1.25,0.0748,1.4,0.0815,1.57
0.0851,1.62,0.0599,1.17,0.0783,1.49,0.064,1.24,0.0742,1.38,0.0814,1.57
0.085,1.63,0.0597,1.17,0.0783,1.49,0.0635,1.24,0.0735,1.37,0.0812,1.57
0.0848,1.61,0.0595,1.17,0.0783,1.49,0.0631,1.23,0.0728,1.37,0.0812,1.57
0.0845,1.61,0.0593,1.16,0.0783,1.49,0.0626,1.22,0.0722,1.34,0.0811,1.57
0.0844,1.61,0.0591,1.16,0.0782,1.49,0.062,1.22,0.0714,1.33,0.081,1.57
0.0842,1.6,0.0589,1.16,0.0782,1.49,0.0615,1.19,0.0707,1.33,0.0809,1.56
0.0838,1.59,0.0587,1.15,0.0781,1.49,0.0609,1.19,0.07,1.31,0.0808,1.56
0.0835,1.59,0.0584,1.15,0.0781,1.49,0.0604,1.19,0.0692,1.29,0.0806,1.56
0.0833,1.59,0.0582,1.15,0.078,1.48,0.0598,1.16,0.0684,1.28,0.0805,1.55
0.0829,1.59,0.058,1.14,0.078,1.48,0.0592,1.16,0.0677,1.26,0.0804,1.56
0.0827,1.59,0.0578,1.14,0.0779,1.49,0.0586,1.16,0.0668,1.25,0.0803,1.55
0.0823,1.57,0.0575,1.14,0.0777,1.48,0.058,1.14,0.0661,1.24,0.0802,1.55
0.082,1.57,0.0572,1.13,0.0777,1.48,0.0574,1.12,0.0654,1.23,0.08,1.55
0.0817,1.57,0.057,1.13,0.0776,1.47,0.0568,1.12,0.0645,1.21,0.0799,1.55
0.0814,1.56,0.0568,1.12,0.0775,1.48,0.056,1.1,0.0638,1.21,0.0797,1.54
0.081,1.54,0.0565,1.11,0.0774,1.48,0.0554,1.08,0.0629,1.18,0.0795,1.54
0.0806,1.54,0.0561,1.11,0.0772,1.47,0.0547,1.09,0.0621,1.16,0.0794,1.53
0.0803,1.53,0.0559,1.11,0.0771,1.48,0.0541,1.07,0.0614,1.15,0.0793,1.53
0.0799,1.53,0.0555,1.1,0.077,1.47,0.0535,1.04,0.0605,1.14,0.0791,1.53
0.0795,1.53,0.0553,1.1,0.0769,1.46,0.0529,1.05,0.0597,1.12,0.0789,1.53
0.0792,1.51,0.0549,1.09,0.0768,1.47,0.0521,1.03,0.0589,1.11,0.0787,1.52
0.0788,1.51,0.0546,1.08,0.0766,1.46,0.0515,1.02,0.0581,1.09,0.0786,1.53
0.0785,1.51,0.0542,1.08,0.0765,1.46,0.0508,1.01,0.0572,1.08,0.0783,1.52
0.078,1.5,0.0538,1.07,0.0763,1.45,0.0502,1,0.0565,1.07,0.0782,1.51
0.0776,1.48,0.0535,1.06,0.0762,1.44,0.0495,0.97,0.0557,1.05,0.078,1.51
