,mass
2004,20.784276924735686
2005,30.95441443778086
2007,94.62913016875456
2008,18.650070084917402
2009,4.14273815888525
2010,13.217711819539712
2011,2.568753927919146
2013,69.35281464009677
2016,17.132410796736714
2021,9.173364500089374
2022,27.720826267977653
2023,20.542444330836094
2024,26.055736120272943
2025,14.059463997398304
2026,21.36920664288244
2027,30.514506266931434
2030,14.153598644517826
2032,35.26725942774403
2033,3.2555203799345915
2034,17.34296708853116
2035,28.279716541029895
2038,25.94350473473479
2039,10.930029640365984
2042,29.74894910735805
2043,26.316352567768593
2044,20.911456648122257
2048,2.769706498096145
2049,11.156432895746875
2050,8.45404646663708
2058,12.697104400445012
2061,22.42837048195432
2062,38.2618243410413
2063,40.1655310866971
2064,26.57079675976613
2065,26.348957594748853
2067,11.67920173930826
2069,35.219031682319155
2070,14.309441550220015
2074,15.410586906315407
2076,59.34692233839216
2077,22.744039349086528
2079,20.675708860858915
2081,22.98540966088494
2082,4.870173069316949
2086,40.77360516960819
2087,6.339109548873306
2088,24.37832712654833
2090,4.750578004232765
2091,92.0043061163987
2092,39.78605054387781
2096,51.157656674929896
2097,9.497810770314398
2098,48.339179777174536
2101,11.32801433454861
2110,28.998939686323634
2111,6.343492677055445
2112,11.026696423274073
2113,14.282366396483463
2115,27.008201514535802
2116,20.007756247630574
2120,88.26866872988117
2121,21.711502959467733
2122,12.060764823467773
2125,63.63010072693584
2129,21.82871366931634
2132,28.86157424362711
2134,45.175126511029276
2136,19.704701857891074
2137,14.41892983246334
2139,7.136536820440183
2141,9.779288310090195
2144,24.21434876356372
2147,10.109696565123938
2148,54.41135473552138
2151,10.716601801053168
2152,57.668414506352384
2153,3.075093493528823
2154,2.073859679798054
2156,45.18253034009316
2158,68.91502760747544
2159,39.537845864607995
2163,46.820248313437
2164,12.07634109140065
2168,21.38054592506476
2170,43.777098072146906
2172,31.830139076875987
2174,21.55120921088319
2175,18.75519683881166
2178,2.6814894943668057
2179,11.344013598466816
2185,38.86290816602296
2187,16.901230975241763
2189,12.364064990722078
2190,50.27591668302828
2191,55.29987930536021
2192,14.8992263639139
2195,11.66846811256468
2197,27.60422690935579
2200,20.796099444633843
2201,17.32317813443878
2203,79.61649310692351
2204,15.729960204778
2207,25.644084470807314
2209,7.469302596611951
2210,90.5681658746949
2211,14.059656358869486
2212,14.015424763005582
2213,50.23087229445255
2214,3.0797487996053805
2217,36.05717640430404
2220,17.952928663933463
2221,12.104627146256906
2222,34.80795272550656
2223,41.947009743699255
2226,19.81939288092594
2228,20.127888592937964
2231,3.644433526513415
2232,13.478465707451946
2233,15.742684120222318
2235,4.253511394589166
2237,2.162149883544406
2238,15.571539819025611
2239,19.020002125262522
2241,41.090962966109714
2244,26.959998966039223
2246,14.031722417283701
2253,59.156402429731145
2261,31.32760760781136
2263,27.13451982275154
2266,3.9918996510248226
2270,73.55654339655712
2272,25.064366923843842
2274,106.06140002317053
2276,2.9174534549321955
2280,14.44771622673024
2281,16.827797927138295
2284,3.081578142457371
2285,92.32080902537629
2286,93.00503514661501
2287,9.698529851358249
2288,8.095455288769797
2290,13.52224758804878
2292,11.664757453432113
2294,20.44235134012468
2295,90.9848893183143
2297,7.766013830282303
2298,97.99766733851372
2299,18.829297584623273
2300,42.389052861184574
2303,12.955649033834609
2304,7.9934632321697325
2305,81.6418542747499
2307,16.50535308408459
2309,9.538956065655197
2314,92.84943416865825
2317,8.882242731773266
2318,2.7544409060843744
2319,45.065228620765886
2320,2.421026329018917
2321,93.10783460669889
2324,7.535740196050752
2326,29.778301954977767
2327,3.068728865541348
2328,32.451156350885235
2329,58.16732166864326
2330,24.82533483216482
2333,23.660978957410055
2334,18.342676951936355
2336,22.390029144695227
2337,12.331863990955744
2338,23.379325850023495
2339,29.11586714715164
2340,4.058765271959431
2341,10.810410341647518
2342,16.56944230071732
2343,10.15325443246307
2347,4.462848010925422
2349,31.900658642990035
2351,26.480570139706405
2353,32.13848246709542
2356,10.840854863003182
2359,15.119583293857378
2361,30.41779068160275
2362,2.9708841012094553
2363,29.63408631235153
2364,10.227812384104004
2365,3.357206232524302
2366,26.08134320804816
2367,3.25030476703322
2369,29.82254248754801
2370,31.189136882477207
2372,27.11619060616738
2378,4.253535216899034
2379,18.09409282707194
2380,14.379942061726954
