"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.462956333E0,-2.324200439E1,-1.549107361E1,-3.690987396E1,4.628717885E1
2.472971333E0,-2.332510376E1,-1.540322876E1,-3.674856567E1,4.617117067E1
2.482986333E0,-2.322325134E1,-1.546453857E1,-3.675384521E1,4.614451749E1
2.493001333E0,-2.332130432E1,-1.554202271E1,-3.675973511E1,4.622462363E1
2.503016333E0,-2.306407166E1,-1.540008545E1,-3.672898102E1,4.602316895E1
2.513031333E0,-2.319294739E1,-1.542169189E1,-3.683544159E1,4.617998643E1
2.523045333E0,-2.327503967E1,-1.553184509E1,-3.674028778E1,4.618240390E1
2.533060333E0,-2.323532104E1,-1.548243713E1,-3.670344543E1,4.611647114E1
2.543075333E0,-2.315499878E1,-1.554197693E1,-3.658018494E1,4.599801023E1
2.553090333E0,-2.317089844E1,-1.552053833E1,-3.663735962E1,4.604425876E1
2.563105333E0,-2.318467712E1,-1.538383484E1,-3.659236908E1,4.596948012E1
2.573120333E0,-2.323301697E1,-1.554112244E1,-3.649709320E1,4.597104933E1
2.583135333E0,-2.320257568E1,-1.544003296E1,-3.659252930E1,4.599747098E1
2.593150333E0,-2.325752258E1,-1.549501038E1,-3.642970276E1,4.591438714E1
2.603165333E0,-2.315977478E1,-1.541632080E1,-3.656038666E1,4.594235505E1
2.613180333E0,-2.313563538E1,-1.538108826E1,-3.667398071E1,4.600887264E1
2.623195333E0,-2.321008301E1,-1.525125122E1,-3.649807739E1,4.586303817E1
2.633210333E0,-2.312841797E1,-1.539764404E1,-3.647307587E1,4.585080613E1
2.643225333E0,-2.305412292E1,-1.530549622E1,-3.659708405E1,4.588133999E1
2.653240333E0,-2.316596985E1,-1.538871765E1,-3.653352356E1,4.591484655E1
2.663254333E0,-2.332594299E1,-1.554426575E1,-3.626741028E1,4.583719955E1
2.673269333E0,-2.316766357E1,-1.557527161E1,-3.626412964E1,4.576479891E1
2.683284333E0,-2.330845642E1,-1.557070923E1,-3.648619843E1,4.601058359E1
2.693299333E0,-2.319781494E1,-1.546839905E1,-3.647182465E1,4.590864821E1
2.703314333E0,-2.332664490E1,-1.546319580E1,-3.655539703E1,4.603846043E1
2.713329333E0,-2.320550537E1,-1.536859131E1,-3.643502808E1,4.584975844E1
