Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
148031,423564145,39.099,-20.1878,11.6029,31.4095,23.2847,1.10794,2.61995,-1,50.0461,24.5089,-0.85766,-43.6255,24.5239,-1.34015,-0.0349796,1,87.54133943539132
149181,613673807,47.1221,41.8538,-20.8975,-5.66135,46.7808,-0.120725,-0.463085,-1,41.2562,-31.7461,20.7713,16.2115,37.9376,0.415281,2.56221,1,87.1621289330263
147114,574565497,57.5372,4.57077,32.4227,47.3118,32.7433,1.16382,1.43074,1,74.6431,-29.6205,-50.2945,46.5261,58.3688,0.730407,-2.10304,-1,87.85892113705414
149011,517609262,39.8693,7.54015,-30.0998,25.0342,31.0298,0.737953,-1.32534,-1,48.5696,-6.26145,35.0478,-33.0372,35.6027,-0.829493,1.74759,1,87.92765916661264
149181,1139839927,42.848,-37.4176,-13.828,15.6417,39.8909,0.382701,-2.7876,-1,57.6844,10.9615,6.92175,-56.2088,12.964,-2.17309,0.563233,1,87.82626219461636
149181,1399793301,58.6419,36.276,32.7842,32.3747,48.8953,0.62136,0.734881,-1,85.0132,-18.1012,-23.9982,79.5215,30.0594,1.69995,-2.21703,1,87.7981265775643
146644,515629462,25.555,5.50867,16.1877,-18.9913,17.0994,-0.957486,1.24279,1,79.9586,0.631752,-21.2877,77.0702,21.297,1.99786,-1.54113,-1,87.72825301698373
148029,200422354,33.6686,-31.5924,6.97312,9.3204,32.3528,0.284243,2.92435,-1,69.2981,27.5394,-2.00167,-63.5594,27.6121,-1.57102,-0.0725563,1,87.28762835469584
148031,394999296,53.6999,-31.5223,-1.71934,43.4404,31.5691,1.12398,-3.0871,-1,267.466,31.1082,-37.295,263.02,48.5659,2.39087,-0.875599,1,87.79104937409294
149011,838297899,55.5509,40.3261,2.15617,-38.1453,40.3837,-0.841631,0.0534176,1,104.063,-42.0445,-1.95704,-95.1714,42.0901,-1.55467,-3.09508,-1,87.75113687584394
149181,796233557,66.8782,-30.5448,-28.8496,52.0329,42.0153,1.04034,-2.38473,-1,96.8513,37.4941,24.2902,85.9323,44.6746,1.4089,0.574856,1,87.77170307314314
149182,25635592,39.7406,-30.4493,-25.4987,-1.40593,39.7158,-0.0353925,-2.44445,1,53.3374,28.9685,29.2063,33.9513,41.1362,0.752333,0.789485,-1,87.11127314626448
147929,9719163,81.8253,-44.0,10.9047,-68.121,45.3311,-1.19628,2.89865,-1,104.158,38.593,-10.8469,-96.1344,40.0883,-1.60869,-0.27399,1,87.06728696755168
