Run,Event,pt,eta,phi,Q,chiSq,dxy,iso,MET,phiMET
173389,490161156,32.1583,-0.340405,2.10799,1,1.00624,-0.0869231,34.4569,44.8471,2.22907
173389,490165305,27.7093,1.18013,-1.16551,-1,0.920528,0.0966298,21.4674,31.9251,-0.736837
173389,490323548,39.8421,0.422386,0.698707,-1,1.07905,-0.00811339,18.6957,25.9514,-1.64316
173389,490262062,34.0625,-0.236568,-2.43089,1,0.835973,0.012925,0.920778,15.6801,-0.658653
173389,490449065,37.6849,1.75106,1.55833,1,1.05235,-0.0731979,0.3268,48.0264,-1.93917
173389,490457881,27.1266,1.67034,2.49319,1,0.840505,-0.0750416,5.77738,10.469,-0.190521
173389,490493532,33.2802,1.68336,-0.709347,-1,0.810565,0.0847425,0.934713,52.1103,2.87917
173389,490491077,31.5006,0.403134,0.085486,1,1.00872,0.0385836,36.3224,26.6417,-0.903729
173389,490435006,95.6467,-0.966833,-1.63529,1,1.18743,0.0684626,2.40018,332.55,-1.30589
173389,490458253,33.527,0.757491,0.630451,-1,1.73524,-0.000246463,4.86505,33.4617,-3.0512
173389,490529042,38.0405,0.983258,0.451348,-1,0.825002,0.0109999,1.29001,40.58,-2.74729
173389,490614255,39.2014,1.53871,0.153121,1,0.909392,0.0330073,0.316535,45.9381,-2.73572
173389,490724847,36.0491,-0.094863,-1.70166,1,0.681993,0.0677968,1.75674,44.6838,1.77007
173389,490747147,54.2722,-0.539965,0.022485,-1,0.85192,0.0452109,1.36933,34.0473,-1.71787
173389,490793939,30.9635,-1.41575,-0.167411,-1,0.628141,0.0603968,0.85296,25.8756,-2.59012
173389,490838525,37.2889,0.888464,2.00338,-1,1.59543,-0.0843848,25.6534,6.71644,0.775394
173389,490892243,36.5606,1.7834,-2.08599,1,0.647398,0.0322667,37.1032,24.3922,-1.41632
173389,490886825,31.4029,1.30327,-1.6945,-1,0.820404,0.0716938,6.02724,22.9871,-0.610873
173389,490890588,35.0788,1.08326,-0.950562,1,3.85941,0.0883606,1.69249,31.6447,2.24637
173389,490933305,48.1088,0.77639,0.279486,1,0.82801,0.0279955,0.914555,33.5449,-2.6175
173389,491014362,31.111,1.99587,-0.0285241,1,0.963419,0.0495844,76.6571,15.3871,-1.0316
173389,491068862,37.0961,-0.654123,-0.680228,-1,0.79507,0.0758434,0.963518,35.135,3.0508
173389,491183052,33.4363,0.331322,-2.04414,-1,1.16287,0.0458557,5.85466,0.782799,0.707116
173389,491142951,34.0742,1.80366,-1.87508,1,0.855648,0.0549789,0.243397,35.9629,0.931292
173389,491187169,33.7989,0.565358,2.44733,-1,0.92291,-0.0784617,46.4227,28.0353,0.0311203
173389,491231075,33.8677,0.135196,2.06403,1,0.646994,-0.0901571,14.3702,12.9937,2.65149
173389,491294433,42.861,1.90092,2.12507,1,1.30573,-0.0890451,0,42.6057,-1.01626
173389,489937190,38.028,0.352612,3.01726,1,0.981468,-0.0554149,1.63776,41.1633,-0.181647
173389,489981208,36.7663,-0.446589,-1.41847,-1,0.580688,0.0789082,0,28.245,1.57762
173389,490014930,31.734,0.560785,-0.0966728,-1,0.731803,0.0568354,0,17.0908,-2.86162
173389,490099426,41.1647,-0.617354,-2.01343,1,1.14788,0.0438577,6.4406,2.80159,0.451069
173389,490102656,25.8421,0.355837,-1.60695,-1,0.685025,0.0675558,37.9541,10.8762,-1.86685
173389,490297942,33.2047,-0.62793,-2.33953,1,2.00823,0.0169457,29.5919,16.453,2.30672
173389,490267990,47.5304,0.365096,0.292512,-1,1.83457,0.0236017,0.731507,47.5492,-2.31065
173389,490318576,33.8092,-1.05538,-1.44601,-1,1.59747,0.0794626,5.6269,27.3204,2.27725
173389,490333056,35.2274,-1.12214,-0.976849,1,1.89938,0.0742397,1.70793,36.3094,1.90006
173389,490388131,42.0426,-1.08318,-1.42394,-1,0.404139,0.0759905,21.4846,20.9889,-2.67947
173389,490418851,38.9966,0.649658,-0.396074,1,0.826575,0.0739722,2.49246,47.4336,2.5822
173389,490477310,42.4208,1.39238,0.723421,-1,0.766547,-0.014048,40.0024,7.67275,-0.680722
173389,490525459,38.8893,0.0996304,-1.5258,-1,0.51012,0.0801713,8.30322,7.92697,-2.29997
173389,490608873,26.4021,1.08221,-0.551121,-1,0.84858,0.0728222,2.72161,29.1373,-0.50559
173389,490557140,31.7668,1.94959,-0.296583,-1,1.03716,0.0555436,58.0561,21.1459,-0.282781
173389,490616006,42.754,2.09776,-2.41707,1,0.842562,0.0193101,9.96634,2.51669,2.79095
173389,490726584,26.4065,-0.187648,0.419524,1,1.5434,0.0154742,0.880241,52.4327,-2.72878
173389,490783644,48.3099,-0.453521,2.14117,1,0.705887,-0.084313,0.700189,42.6036,-1.11926
173389,490933544,30.8631,1.67241,1.95339,-1,1.23488,-0.085934,56.0964,27.9839,-0.908771
173389,490934698,59.1008,-1.85271,-0.0103785,-1,0.696547,0.0466507,10.5708,46.3592,-2.60032
173389,491037452,37.5086,0.719494,-2.11311,-1,0.67811,0.0371083,1.23822,51.3382,1.79705
173389,491110952,33.4191,0.722947,-0.239696,-1,0.819503,0.0629225,55.0315,31.1082,0.0319183
173389,491119544,35.9869,-0.447951,-2.00212,-1,1.48525,0.0472935,35.7655,14.9065,2.23357
173389,491197291,38.8296,-1.1034,1.34421,-1,0.472201,-0.0594921,1.44094,7.57555,-2.32303
173389,491251363,26.6888,-1.52394,0.434586,-1,0.696052,0.00743712,23.4499,24.3895,1.34954
173389,491281122,38.279,0.69049,-1.30926,-1,0.710547,0.0799099,4.8454,25.8155,1.22833
173389,491297832,30.8548,-1.55392,2.42539,1,0.716451,-0.0807674,0,28.207,0.170733
173389,490030150,43.1314,0.0881471,-2.76482,-1,1.43106,-0.0176268,7.45161,16.4229,0.643676
173389,489993845,33.8869,0.570137,2.67571,-1,0.846204,-0.0773165,1.2262,47.1565,0.181631
173389,490183017,52.7517,-0.550136,-0.522326,-1,0.584356,0.0764671,18.0604,15.1039,-1.57912
173389,490244285,30.2252,-1.12304,-1.09278,1,0.758498,0.0547836,14.1977,10.3172,-0.101553
