Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
149181,400885707,63.4522,3.64572,-19.304,60.3344,19.6453,1.84072,-1.38414,-1,34.3845,-7.79439,23.4565,-23.9026,24.7176,-0.857866,1.89161,1
149181,399820868,87.6935,18.0507,17.8281,-83.9433,25.3706,-1.91179,0.779195,-1,9.99181,1.32956,3.04112,9.42444,3.31906,1.76643,1.15864,1
149181,399946244,17.7183,7.75548,11.0941,-11.433,13.5361,-0.767138,0.960698,-1,1.9088,1.31084,0.529384,-1.28257,1.4137,-0.81424,0.383823,1
149181,400038796,84.9657,-4.76054,30.2355,-79.2611,30.608,-1.67999,1.72696,1,8.18276,1.41437,-2.29824,-7.72497,2.69859,-1.77408,-1.01912,-1
149181,400608060,67.5258,-19.485,-6.65941,-64.3096,20.5915,-1.85667,-2.81227,-1,8.14119,6.58902,-0.483631,-4.75708,6.60675,-0.669001,-0.0732681,1
149181,400744196,5.47174,-0.522684,-2.79494,4.67494,2.84339,1.27215,-1.75567,1,110.847,-0.434591,17.253,109.495,17.2585,2.54688,1.59598,-1
149181,399745381,252.569,54.9063,32.4746,-244.381,63.7911,-2.05287,0.534113,1,2.99072,1.16195,-2.04386,1.8485,2.35106,0.721887,-1.05386,1
149181,400554198,3.19015,-1.23411,-2.77016,0.990082,3.03262,0.320939,-1.9899,-1,29.7121,0.414477,-19.9298,22.0327,19.9341,0.953892,-1.55,1
149181,417301558,69.3123,2.47733,21.9456,65.6996,22.085,1.81046,1.45839,1,13.9645,-1.65305,-2.68435,13.604,3.15251,2.16847,-2.12276,-1
149181,416799863,28.4903,-17.6703,7.42269,-21.0799,19.166,-0.950253,2.74391,1,6.5354,-1.70215,-1.44725,6.14163,2.23424,1.73589,-2.43696,1
149181,417481311,15.6036,3.17425,1.38046,-15.2148,3.46144,-2.18643,0.410219,1,91.0989,12.2361,15.9514,-88.8529,20.104,-2.19177,0.916453,-1
149181,416835816,17.1598,-5.45903,-2.45752,-16.0817,5.98668,-1.71426,-2.71859,1,46.0946,13.9115,-7.81887,43.244,15.9582,1.72246,-0.512042,-1
149181,417065816,11.3175,0.592963,-3.811,10.64,3.85685,1.73926,-1.41644,1,36.8228,16.3225,17.3453,28.0826,23.8178,1.0025,0.815768,1
149181,417350472,7.49823,-1.28684,-4.90645,5.52215,5.0724,0.942702,-1.8273,-1,78.9185,13.9549,15.4801,76.1167,20.8416,2.0067,0.837166,-1
149181,417470720,149.648,35.7603,3.86447,-145.261,35.9685,-2.10402,0.107648,1,75.7827,-45.6767,-0.87112,-60.464,45.685,-1.0927,-3.12252,-1
149181,416616153,19.8385,5.15159,17.0805,-8.67664,17.8404,-0.468967,1.27787,-1,4.27867,-2.87762,1.70171,-2.6703,3.34313,-0.731685,2.60755,1
149181,416754170,3.87182,3.03454,0.612078,2.3255,3.09565,0.694118,0.199033,1,26.1004,16.3777,10.6723,17.2946,19.548,0.79747,0.577526,-1
