#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
101	3	3	0.8939990297608658	2457067	77241.51617133881	Feb 14, 2015 09:27:21 UTC	0.8939990297608658	0.0	0.8939990297609236	4.998	0.8939990297609236	4.998	-1	-1	0.8939990297638506	257.89	-1	-1	0.8939990297637032	245.151	0.8939990297636452	240.144	
102	4	4	0.8944234636252177	2457067	77278.18725721881	Feb 14, 2015 09:27:58 UTC	0.8944234636252465	2.484	0.8944234636252321	1.237	0.8944234636252177	0.0	0.8944234636252321	1.237	0.8944234636281447	252.892	0.8944234636279851	239.098	0.8944234636279826	238.887	0.8944234636280983	248.883	
103	4	4	0.8961147152139185	2457067	77424.31139448256	Feb 14, 2015 09:30:24 UTC	0.8961147152139329	1.247	0.8961147152139185	0.0	0.8961147152139329	1.247	0.8961147152139185	0.0	0.8961147152173519	296.643	0.8961147152171921	282.839	0.8961147152172189	285.151	0.8961147152178264	337.64	
104	4	3	0.8972894805317858	2457067	77525.8111179463	Feb 14, 2015 09:32:05 UTC	0.8972894805317858	0.0	0.8972894805317858	0.0	0.8972894805318004	1.257	0.8972894805318293	3.76	0.8972894805352772	301.659	0.8972894805350596	282.859	-1	-1	0.8972894805351587	291.415	
105	3	4	0.8975635139980764	2457067	77549.48760943381	Feb 14, 2015 09:32:29 UTC	-1	-1	0.8975635139981343	4.998	0.8975635139981197	3.741	0.8975635139980764	0.0	0.8975635140015966	304.144	0.8975635140014080	287.847	0.8975635140013911	286.389	0.8975635140014201	288.892	
106	3	2	0.9032840961180417	2457067	78043.7459045988	Feb 14, 2015 09:40:43 UTC	0.9032840961180851	3.751	0.9032840961180417	0.0	0.9032840961180562	1.247	-1	-1	0.9032840961214752	296.652	0.9032840961214021	290.341	-1	-1	-1	-1	
107	3	2	0.9068415560967599	2457067	78351.11044676005	Feb 14, 2015 09:45:51 UTC	0.9068415560967743	1.247	0.9068415560967599	0.0	0.9068415560967743	1.247	-1	-1	-1	-1	-1	-1	0.9068415561002049	297.65	0.9068415561000893	287.664	
108	3	2	0.9119971530899891	2457067	78796.55402697505	Feb 14, 2015 09:53:16 UTC	0.9119971530900469	4.998	0.9119971530899891	0.0	-1	-1	0.9119971530900903	8.748	0.9119971530930464	264.153	-1	-1	-1	-1	0.9119971530929275	253.88	
109	4	2	0.9132463446934324	2457067	78904.48418151255	Feb 14, 2015 09:55:04 UTC	0.9132463446935045	6.235	0.9132463446934467	1.237	0.9132463446934755	3.731	0.9132463446934324	0.0	0.9132463446964316	259.137	0.9132463446962286	241.592	-1	-1	-1	-1	
110	4	4	0.9186284868896997	2457067	79369.50126727005	Feb 14, 2015 10:02:49 UTC	0.9186284868897288	2.513	0.9186284868897141	1.247	0.9186284868897288	2.513	0.9186284868896997	0.0	0.9186284868931333	296.662	0.9186284868929878	284.096	0.9186284868929857	283.914	0.9186284868929565	281.391	
111	4	2	0.9272275143632239	2457067	80112.45724098255	Feb 14, 2015 10:15:12 UTC	0.9272275143632384	1.247	0.9272275143632239	0.0	0.9272275143632239	0.0	0.9272275143632529	2.504	-1	-1	0.9272275143666424	295.357	0.9272275143666979	300.154	-1	-1	
112	4	3	0.9306578083517367	2457067	80408.83464159006	Feb 14, 2015 10:20:08 UTC	0.9306578083517804	3.77	0.9306578083517367	0.0	0.9306578083517804	3.77	0.9306578083517367	0.0	0.9306578083546928	255.405	0.9306578083545618	244.086	-1	-1	0.9306578083546173	248.883	
113	4	2	0.9344982451509121	2457067	80740.6483810388	Feb 14, 2015 10:25:40 UTC	0.9344982451509843	6.245	0.9344982451509265	1.247	0.9344982451509121	0.0	0.9344982451509409	2.494	0.9344982451540126	267.885	-1	-1	0.9344982451541113	276.412	-1	-1	
