"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.600404292E0,-2.325311279E1,-9.371337891E0,-3.664817810E1,4.440290741E1
1.610420292E0,-2.336308289E1,-9.348114014E0,-3.677623749E1,4.456133438E1
1.620435292E0,-2.342977905E1,-9.357360840E0,-3.694515228E1,4.473766898E1
1.630450292E0,-2.344059753E1,-9.450561523E0,-3.695305634E1,4.476944380E1
1.640465292E0,-2.329942322E1,-9.385330200E0,-3.709641266E1,4.480057340E1
1.650480292E0,-2.316270447E1,-9.396240234E0,-3.696487427E1,4.462288806E1
1.660495292E0,-2.329177856E1,-9.365203857E0,-3.698006439E1,4.469607538E1
1.670510292E0,-2.334585571E1,-9.451599121E0,-3.683380127E1,4.462163848E1
1.680525292E0,-2.333804321E1,-9.381805420E0,-3.691981506E1,4.467387691E1
1.690540292E0,-2.333128357E1,-9.317642212E0,-3.726757050E1,4.494484464E1
1.700555292E0,-2.340942383E1,-9.303115845E0,-3.710352325E1,4.484663339E1
1.710570292E0,-2.360174561E1,-9.424194336E0,-3.697616577E1,4.486752355E1
1.720586292E0,-2.359135437E1,-9.461425781E0,-3.701332855E1,4.490052415E1
1.730601292E0,-2.347311401E1,-9.374954224E0,-3.694850159E1,4.476682497E1
1.740616292E0,-2.341664124E1,-9.408370972E0,-3.691002655E1,4.471248809E1
1.750631292E0,-2.339558411E1,-9.379226685E0,-3.686013794E1,4.465414894E1
1.760646292E0,-2.330421448E1,-9.288116455E0,-3.691258240E1,4.463064260E1
1.770661292E0,-2.331245422E1,-9.362670898E0,-3.718444061E1,4.487552509E1
1.780676292E0,-2.351931763E1,-9.386581421E0,-3.701768494E1,4.485058763E1
1.790691292E0,-2.344871521E1,-9.313796997E0,-3.690406799E1,4.470457800E1
1.800706292E0,-2.342936707E1,-9.273498535E0,-3.677059174E1,4.457588398E1
1.810721292E0,-2.337925720E1,-9.338455200E0,-3.706392670E1,4.480548041E1
1.820737292E0,-2.328408813E1,-9.304855347E0,-3.692784882E1,4.463625333E1
1.830752292E0,-2.337631226E1,-9.441192627E0,-3.697437286E1,4.475145072E1
1.840767292E0,-2.347343445E1,-9.441329956E0,-3.698462677E1,4.481075154E1
1.850782292E0,-2.345545959E1,-9.356506348E0,-3.719155884E1,4.495458647E1
1.860797292E0,-2.355325317E1,-9.361297607E0,-3.699904633E1,4.484773190E1
1.870812292E0,-2.358993530E1,-9.563262939E0,-3.719911194E1,4.507454908E1
1.880827292E0,-2.339717102E1,-9.545196533E0,-3.690222168E1,4.472485163E1
1.890842292E0,-2.330758667E1,-9.403244019E0,-3.692559814E1,4.466726310E1
1.900857292E0,-2.335179138E1,-9.412399292E0,-3.671145630E1,4.451550791E1
1.910872292E0,-2.324453735E1,-9.338088989E0,-3.675218964E1,4.447731855E1
1.920887292E0,-2.329051208E1,-9.314575195E0,-3.689331055E1,4.461306566E1
1.930903292E0,-2.340837097E1,-9.489578247E0,-3.706092072E1,4.484992498E1
1.940918292E0,-2.334362793E1,-9.477401733E0,-3.711203766E1,4.485587417E1
1.950933292E0,-2.344813538E1,-9.590789795E0,-3.705360413E1,4.488616580E1
1.960948292E0,-2.334284973E1,-9.634033203E0,-3.704857635E1,4.483637183E1
1.970963292E0,-2.338572693E1,-9.503494263E0,-3.728498077E1,4.502641912E1
1.980978292E0,-2.336964417E1,-9.524627686E0,-3.699258423E1,4.478068879E1
1.990993292E0,-2.334237671E1,-9.555252075E0,-3.685594177E1,4.466015939E1
2.001008292E0,-2.342794800E1,-9.516479492E0,-3.702841949E1,4.483900065E1
2.011023292E0,-2.332981873E1,-9.457611084E0,-3.702534485E1,4.477279319E1
2.021038292E0,-2.329197693E1,-9.364654541E0,-3.695863342E1,4.467833399E1
2.031054292E0,-2.323538208E1,-9.437988281E0,-3.665570831E1,4.441395676E1
2.041069292E0,-2.331413269E1,-9.530746460E0,-3.696645355E1,4.473144978E1
2.051083792E0,-2.327372742E1,-9.522064209E0,-3.693604279E1,4.468341249E1
2.061098792E0,-2.341729736E1,-9.698898315E0,-3.693143463E1,4.479251398E1
2.071113792E0,-2.350894165E1,-9.656112671E0,-3.692967987E1,4.482981268E1
2.081128792E0,-2.349418640E1,-9.553955078E0,-3.704718018E1,4.489708689E1
2.091143792E0,-2.337760925E1,-9.404525757E0,-3.703641510E1,4.479568911E1
2.101158792E0,-2.327993774E1,-9.332519531E0,-3.707630157E1,4.476274747E1
2.111173792E0,-2.322018433E1,-9.438339233E0,-3.690444946E1,4.461163075E1
2.121188792E0,-2.334295654E1,-9.441436768E0,-3.706025696E1,4.480510009E1
2.131203792E0,-2.328758240E1,-9.365386963E0,-3.706488800E1,4.476413620E1
2.141219792E0,-2.327536011E1,-9.435485840E0,-3.693871307E1,4.466810165E1
2.151234792E0,-2.334860229E1,-9.455703735E0,-3.689066315E1,4.467089197E1
2.161249792E0,-2.328457642E1,-9.302261353E0,-3.702939606E1,4.472001495E1
2.171264792E0,-2.333195496E1,-9.249893188E0,-3.699088287E1,4.470196933E1
2.181279792E0,-2.331398010E1,-9.296112061E0,-3.696962738E1,4.468459149E1
2.191294792E0,-2.336213684E1,-9.342575073E0,-3.696519470E1,4.471575523E1
2.201309792E0,-2.337953186E1,-9.398406982E0,-3.690654755E1,4.468809479E1
2.211324792E0,-2.326014709E1,-9.324401855E0,-3.668613434E1,4.442804706E1
2.221339792E0,-2.325361633E1,-9.278244019E0,-3.687945557E1,4.457477681E1
2.231354792E0,-2.336653137E1,-9.260040283E0,-3.690738678E1,4.465308873E1
2.241369792E0,-2.339248657E1,-9.278808594E0,-3.696171570E1,4.471546874E1
2.251385792E0,-2.336714172E1,-9.323608398E0,-3.687503815E1,4.463990843E1
2.261400792E0,-2.347570801E1,-9.288391113E0,-3.696537018E1,4.476406671E1
2.271415792E0,-2.356396484E1,-9.335937500E0,-3.692105865E1,4.478375532E1
2.281430792E0,-2.340031433E1,-9.383666992E0,-3.701896667E1,4.478874647E1
2.291445792E0,-2.325047302E1,-9.254501343E0,-3.700233459E1,4.466993459E1
2.301460792E0,-2.333134460E1,-9.191085815E0,-3.693563080E1,4.464379601E1
2.311475792E0,-2.332598877E1,-9.205749512E0,-3.708512878E1,4.476778253E1
2.321490792E0,-2.325137329E1,-9.042327881E0,-3.703273010E1,4.465213491E1
2.331505792E0,-2.328762817E1,-9.068283081E0,-3.710861206E1,4.473920510E1
2.341520792E0,-2.321859741E1,-9.085784912E0,-3.697877502E1,4.459915420E1
2.351536792E0,-2.343057251E1,-9.153060913E0,-3.698535919E1,4.472904031E1
2.361551792E0,-2.329167175E1,-9.249008179E0,-3.704239655E1,4.472343085E1
2.371566792E0,-2.340736389E1,-9.222808838E0,-3.701867676E1,4.475876804E1
2.381581792E0,-2.340736389E1,-9.222808838E0,-3.701867676E1,4.475876804E1
2.391596792E0,-2.344929504E1,-9.195327759E0,-3.696488953E1,4.473059969E1
2.401611792E0,-2.339587402E1,-9.171981812E0,-3.680931091E1,4.456924435E1
2.411626792E0,-2.342837524E1,-9.207916260E0,-3.694078064E1,4.470230154E1
2.421641792E0,-2.329583740E1,-9.127960205E0,-3.702850342E1,4.468921305E1
2.431656792E0,-2.343861389E1,-9.181182861E0,-3.703392029E1,4.477916917E1
2.441671792E0,-2.338247681E1,-9.198577881E0,-3.719416046E1,4.488607389E1
2.451687792E0,-2.343144226E1,-9.146896362E0,-3.710879517E1,4.483035666E1
2.461702792E0,-2.331361389E1,-9.199417114E0,-3.716861725E1,4.482923127E1
2.471717792E0,-2.338949585E1,-9.215682983E0,-3.705362701E1,4.477687577E1
2.481732792E0,-2.335580444E1,-9.116500854E0,-3.694673920E1,4.465048405E1
2.491747792E0,-2.328846741E1,-9.001129150E0,-3.708022308E1,4.470252771E1
2.501762792E0,-2.330670166E1,-8.921371460E0,-3.692583466E1,4.456804322E1
2.511777792E0,-2.325999451E1,-9.052856445E0,-3.705562592E1,4.467774576E1
2.521792792E0,-2.330262756E1,-9.134368896E0,-3.684803772E1,4.454466332E1
2.531807792E0,-2.335408020E1,-9.060180664E0,-3.680004883E1,4.451677807E1
2.541822792E0,-2.341412354E1,-9.083786011E0,-3.676798248E1,4.452663119E1
2.551837792E0,-2.337364197E1,-9.029144287E0,-3.684775543E1,4.456018027E1
2.561853792E0,-2.324302673E1,-9.084350586E0,-3.695980072E1,4.459585840E1
2.571868792E0,-2.338568115E1,-9.065521240E0,-3.692934418E1,4.464135101E1
2.581883792E0,-2.348251343E1,-9.107925415E0,-3.677890015E1,4.457656602E1
2.591898792E0,-2.349151611E1,-9.095138550E0,-3.677160645E1,4.457268126E1
2.601913792E0,-2.345736694E1,-9.124694824E0,-3.703622437E1,4.477934831E1
2.611928792E0,-2.339328003E1,-9.118469238E0,-3.690763092E1,4.463815915E1
2.621943792E0,-2.351640320E1,-9.076446533E0,-3.685710144E1,4.465253663E1
2.631958792E0,-2.338827515E1,-9.048461914E0,-3.678573608E1,4.452051725E1
2.641973792E0,-2.324597168E1,-9.134963989E0,-3.668367767E1,4.437921782E1
2.651988792E0,-2.336647034E1,-9.103805542E0,-3.681853485E1,4.454745470E1
2.662004792E0,-2.342207336E1,-9.056961060E0,-3.669158936E1,4.446228507E1
2.672019792E0,-2.347079468E1,-9.047012329E0,-3.678440094E1,4.456252672E1
2.682034792E0,-2.341423035E1,-9.037094116E0,-3.674974060E1,4.450212003E1
2.692049792E0,-2.336570740E1,-9.239730835E0,-3.664938354E1,4.443541631E1
2.702064792E0,-2.341113281E1,-9.189712524E0,-3.666931152E1,4.446538388E1
2.712079792E0,-2.343383789E1,-9.128952026E0,-3.688748169E1,4.464491941E1
2.722094792E0,-2.335494995E1,-9.023071289E0,-3.686727142E1,4.456529148E1
2.732109792E0,-2.334307861E1,-9.100799561E0,-3.656319427E1,4.432370751E1
2.742124792E0,-2.335299683E1,-9.155349731E0,-3.684850311E1,4.457572289E1
2.752139792E0,-2.352938843E1,-9.160064697E0,-3.683101654E1,4.465492901E1
2.762154792E0,-2.358238220E1,-9.181793213E0,-3.675887299E1,4.462789285E1
2.772170792E0,-2.346765137E1,-9.230987549E0,-3.669081116E1,4.452142647E1
2.782185792E0,-2.345884705E1,-9.234466553E0,-3.646230316E1,4.432936306E1
2.792200792E0,-2.344520569E1,-9.225326538E0,-3.644805908E1,4.430852435E1
2.802215792E0,-2.353988647E1,-9.167617798E0,-3.668338013E1,4.454033957E1
2.812230792E0,-2.353428650E1,-9.246078491E0,-3.650365448E1,4.440573610E1
2.822245792E0,-2.348617554E1,-9.062759399E0,-3.653507996E1,4.436830081E1
2.832260792E0,-2.345318604E1,-9.071289062E0,-3.659227753E1,4.439971841E1
2.842275792E0,-2.340940857E1,-8.956558228E0,-3.652259827E1,4.429582970E1
2.852290792E0,-2.342987061E1,-9.030975342E0,-3.674234009E1,4.450299886E1
2.862305792E0,-2.318684387E1,-8.993438721E0,-3.673816681E1,4.436445164E1
2.872321792E0,-2.330012512E1,-8.927825928E0,-3.676279449E1,4.443090102E1
2.882336792E0,-2.332125854E1,-9.003753662E0,-3.675807953E1,4.445340359E1
2.892351792E0,-2.341336060E1,-9.062255859E0,-3.679949188E1,4.454786794E1
2.902366792E0,-2.336628723E1,-9.071670532E0,-3.690273285E1,4.461042789E1
2.912381792E0,-2.325975037E1,-9.041824341E0,-3.672578430E1,4.440218246E1
2.922396792E0,-2.314387512E1,-9.037628174E0,-3.664896393E1,4.427712994E1
2.932411792E0,-2.314483643E1,-8.965667725E0,-3.698612976E1,4.454256892E1
2.942426792E0,-2.321566772E1,-9.012512207E0,-3.667420959E1,4.433046643E1
2.952441792E0,-2.325354004E1,-8.922012329E0,-3.688282013E1,4.450473962E1
2.962456792E0,-2.325543213E1,-8.875915527E0,-3.681969452E1,4.444419990E1
2.972472792E0,-2.332403564E1,-8.935653687E0,-3.686403656E1,4.452879672E1
2.982487792E0,-2.345027161E1,-9.003356934E0,-3.678584290E1,4.454406708E1
2.992502792E0,-2.335362244E1,-9.055770874E0,-3.695864868E1,4.464684064E1
3.002517792E0,-2.333493042E1,-9.078781128E0,-3.698562622E1,4.466407719E1
3.012532792E0,-2.339739990E1,-9.138168335E0,-3.688070679E1,4.462209067E1
3.022547792E0,-2.338208008E1,-9.151092529E0,-3.659358978E1,4.437966850E1
3.032562792E0,-2.341755676E1,-9.061996460E0,-3.678658295E1,4.453935821E1
3.042577792E0,-2.338531494E1,-9.057678223E0,-3.651146698E1,4.429448849E1
3.052592667E0,-2.349319458E1,-9.174362183E0,-3.671428680E1,4.454254111E1
3.062607667E0,-2.343963623E1,-9.102386475E0,-3.653176880E1,4.434907122E1
3.072623667E0,-2.350727844E1,-9.209304810E0,-3.664459991E1,4.449977683E1
