Time,Altitude,Velocity
149.7,60455.4165641507,1576.26635588411
149.8,60562.2999027002,1579.0354577649
149.9,60672.0551950483,1581.72444608347
150,60781.4495644115,1584.42546808728
150.1,60891.4472549265,1587.2182695275
150.2,61003.2560845828,1590.02993649564
150.3,61114.0824701733,1592.85844275875
150.4,61230.6078104854,1595.73467999798
150.5,61347.4823138653,1598.59688681561
150.6,61461.8595292901,1601.49333323608
150.7,61579.5386244788,1604.52747598076
150.8,61699.6786701244,1607.56906406446
150.9,61819.6108713453,1610.57784498029
151,61940.0299998648,1613.61173394035
151.1,62057.1307349071,1616.61364359008
151.2,62171.5149367214,1619.55387247646
151.3,62290.0681754412,1622.57730395107
151.4,62410.4576425359,1625.50533210616
151.5,62528.105955252,1628.39654395367
151.6,62645.2279725743,1631.3717608494
151.7,62762.022323497,1634.29868330043
151.8,62876.9065760648,1637.19279614584
151.9,62997.8500780633,1640.1162229466
152,63114.6549705984,1643.07504032211
152.1,63228.4813611786,1646.00220902755
152.2,63345.19892617,1649.02925282053
152.3,63462.1839585812,1651.97573689877
152.4,63576.6142428052,1654.90301043894
152.5,63694.765861509,1657.92823781848
152.6,63811.4626765016,1660.95601770936
152.7,63930.6772424543,1663.87811979641
152.8,64048.1229880008,1666.92308457707
152.9,64165.8776543335,1669.88736608258
153,64285.3801531525,1672.85155547232
153.1,64405.3503656566,1675.88952442283
153.2,64524.318181794,1678.86156456701
153.3,64639.0578653953,1681.78763896452
153.4,64753.2329971856,1684.74622035076
153.5,64873.4860025401,1687.53610672162
153.6,64992.8652774562,1690.24335744182
153.7,65110.8276856471,1692.85138733449
153.8,65231.2216270605,1695.23263231301
153.9,65351.0239550203,1697.42022537974
154,65473.3539132137,1699.45361392515
154.1,65596.3519466473,1701.17487653069
154.2,65716.0043176435,1702.68837752815
154.3,65836.1202101498,1703.99707753373
154.4,65955.8885790078,1705.03542215268
154.5,66072.7710570852,1705.87183366814
154.6,66191.2371392516,1706.49295097715
154.7,66311.6480708546,1706.89359334632
154.8,66429.3441077138,1707.15227030376
154.9,66546.4162954433,1707.27037783
155,66666.8637756382,1707.24052160303
155.1,66787.0634529149,1707.14086530323
155.2,66910.2685181965,1706.95929902734
155.3,67031.8744092544,1706.71016230896
155.4,67151.5164013007,1706.41979756539
155.5,67274.0563025652,1706.08925932754
155.6,67395.804648274,1705.71203917304
155.7,67512.0723426813,1705.28320055023
155.8,67632.0598445647,1704.81331848481
